"What will be the output of the following Python code?x = 'abcd'
for i in range(len(x)):
    print(i)",error,1 2 3 4 ,a b c d, 0 1 2 3 ,0 1 2 3,example,medium
 What are the two main types of functions in Python?,System function,custom function,Built-in function & User defined function,user function,Built-in function & User defined function,memorybased,medium
"What will be the output of the following Python program?def addItem(listParam):
    listParam += [1]
 
mylist = [1, 2, 3, 4]
addItem(mylist)
print(len(mylist))",5,8,2,1,5,example,hard
Which of the following is a Python tuple?,"{1,2,3}",{},"[1,2,3]","(1,2,3)","(1,2,3)",understanding,easy
" What will be the output of the following Python code snippet?z=set('abc$de')
'a' in z",error,TRUE,FALSE,no output,TRUE,example,easy
What will be the output of the following Python expression?round(4.576),4,4.6,5,4.5,5,understanding,easy
Which of the following is a feature of Python DocString?,In Python all functions should have a docstring,Docstrings can be accessed by the __doc__ attribute on objects,"It provides a convenient way of associating documentation with Python modules, functions, classes, and methods",All of the Above,All of the Above,memorybased,medium
"What will be the output of the following Python code?print(""Hello {0[0]} and {0[1]}"".format(('foo', 'bin')))"," Hello (‘foo’, ‘bin’) and (‘foo’, ‘bin’)",error, Hello foo and bin,none of the above , Hello foo and bin,example,medium
"What is output of print(math.pow(3, 2))?",9,none,9,none of the above ,9,understanding,easy
Which of the following is the use of id() function in python?,Every object in Python doesn’t have a unique id,In Python Id function returns the identity of the object,none of the above,All of the Above,In Python Id function returns the identity of the object,understanding,hard
" What will be the output of the following Python code?x = [[0], [1]]
print((' '.join(list(map(str, x))),))",1,[0] [1],('01'),0,"('[0][1]',)",example,hard
The process of pickling in Python includes ____________,conversion of a Python object hierarchy into byte stream,conversion of a datatable into a list, conversion of a byte stream into Python object hierarchy,conversion of a list into a datatable,conversion of a Python object hierarchy into byte stream,fillups,medium
" What will be the output of the following Python code?def foo():
    try:
        return 1
    finally:
        return 2
k = foo()
print(k)",error,3,2,1,2,example,easy
Which of the following represents the bitwise XOR operator?,&,^,|,!,^,memorybased,easy
What is the value of the following Python expression?bin(0x8),0bx1000’,8,1000,‘0b1000,‘0b1000,example,hard
What will be the output of the following Python expression?0x35 | 0x75,115,116,117,118,117,understanding,medium
To concatenate two strings to a third what statements are applicable?,s3 = s1 . s2,s3 = s1 * s2,s3 = s1.__add__(s2), s3 = s1.add(s2),s3 = s1.__add__(s2),understanding,easy
"What is “Hello”.replace(“l”, “e”)?",heeeo,heelo,heleo,none of the above ,heeeo,understanding,medium
To retrieve the character at index 3 from string s=”Hello” what command do we execute (multiple answers allowed)?,s[],s.getitem(3),s.__getitem__(3),s.getItem(3),s.__getitem__(3),understanding,hard
To return the length of string s what command do we execute?,len(s) OR s.__len__(),len(s) only,size(s),s.size(),len(s) OR s.__len__(),memorybased,easy
" If a class defines the __str__(self) method, for an object obj for the class, you can use which command to invoke the __str__ method.",print obj,obj.__str__(),str(obj),All of the Above,All of the Above,memorybased,medium
" To check whether string s1 contains another string s2, use ________", s1.__contains__(s2),s2 in s1,s1.contains(2),si.in(s2), s1.__contains__(s2),fillups,medium
" Suppose i is 5 and j is 4, i + j is same as ________",i.__add(j),i.__add__(j),i.__ADD(j),i.__Add(j),i.__add__(j),fillups,hard
What function do you use to read a string?,input(“Enter a string”),"eval(""enter a string"")","enter(""enter a string"")","eval(enter(""Enter a string "")",input(“Enter a string”),memorybased,easy
"Suppose x is 345.3546, what is format(x, “10.3f”) (_ indicates space).", __345.355, ___345.355, ____345.355, _____345.354, ___345.355,understanding,hard
Python is known as:,A compiled language,An interpreted language,a machine language,An assembly language,An interpreted language,memorybased,easy
Python is a:,low-level language,high-level language,middle-level language,machine-leve language,high-level language,memorybased,easy
Which of the following is a mutable data type in Python?,string,tuple,list,integer,list,memorybased,medium
What data type would you use to store a whole number in Python?,int,float,str,bool,int,understanding,easy
Which of the following is not a Python built-in data type?,dict,array,set,frozenset,array,memorybased,easy
Which of the following is an immutable data type?,lists,dictionaries,tuples,sets,tuples,understanding,easy
"What does the following code output:x = [1, 2, 3];
print(type(x) == list)",TRUE,FALSE,error,none of the above ,TRUE,example,medium
Which function in Python is used to display data as output?,display(),print(),show(),output(),print(),memorybased,easy
What is the purpose of the end parameter in the print() function?,To add a space at the end,To end the script,To specify the string appended after the last value,To break the line,To specify the string appended after the last value,understanding,easy
Which of the following is a valid Python variable name?,2var,_myvar,my_var,my var,_myvar,memorybased,medium
"What would be printed? x = [[1, 2], [3, 4], [5, 6]] x = [x for x in x for x in x] print x"," [[1, 2], [1, 2], [1, 2]]",Compilation error,"[1, 2, 3, 4, 5, 6]","[6, 6, 6, 6, 6, 6]"," [1, 2, 3, 4, 5, 6]",understanding,easy
from  which module can a user import classes and methods to work with regular expressions?,SYS,re,regularexpressions,regexp,re,memorybased,medium
What is the exponentiation (power) operator?,**,^,both are correct,none are correct,**,memorybased,easy
What is the difference between using single quotes and double quotes in Python strings?, Single quotes are for short strings. Double quotes are for long strings.,There is no difference., Double quotes are for constants. Single quotes are for variables., In Python you can use only single quotes.,There is no difference.,understanding,medium
 What will typing the following at the Python interpreter produce? [3]*3,9,[9],333,"[3,3,3]","[3,3,3]",understanding,medium
 Functions are first-class objects in Python.,always,never,notin,none,always,memorybased,medium
What is the index of the first item in a tuple or list?,0,-1,1,-21587868,0,memorybased,easy
" If you want a function you define to return ""a"", what should be put on the last line of the function (correctly indented)?",a,ret(a),return a,a,return a,memorybased,hard
 Python holds the current working directory in memory.,TRUE,FALSE,may be,may not be,TRUE,understanding,medium
 python you can run linux command,FALSE,TRUE,may be,may not be,TRUE,understanding,hard
What keyword is needed to use an external module?,use,package,external,import,import,memorybased,easy
What does the sys module include?,The name of the operating system where your Python code is run.,The largest integer the machine's architecture supports.,The Python interpreter's version number.,All of the Above,All of the Above,understanding,medium
What is the maximum recursion limit in Python?, It's configurable.,100000,100,10000000, It's configurable.,understanding,hard
What will be the value of a variable x after executing the expression x = y = 1?,This expression will result in a syntax error.,undefined,0,1,1,example,hard
"Which of the following data structures supports the 'in' operator: list, dictionary, set ?",set,list,dictionary,all three,all three,understanding,hard
"When opening the Python shell, the prompt you see is",>,#,$,>>>,>>>,understanding,hard
 What kind of type system does Python have?,dynamic,inverse,loading,proportional,dynamic,understanding,easy
Is it possible to call a function from within another function?,yes,no," Yes, but only when the program runs on a remote server","  Yes, but only in the interactive shell.",yes,understanding,medium
"What data type is the following: [1, 2, 3] ?",counter,list,dictionary,tuple,list,understanding,easy
"What function do you use to determine the size of a tuple, a list, or a string?",length,size,tuplen for tuples,len,len,memorybased,easy
What is a string delimited by?,"""","""""""""","""""",All of the Above,All of the Above,memorybased,easy
Which of these will result in an error?,"""hello""*2","""hello""**2","len(""hello"")","""hello""+""hell""","""hello""**2",understanding,medium
What is a variable?,  A statement which allows you to choose one variant from a given set,"A collection of elements, each identified by an index",An object which may contain some data,An object containing data whose value cannot be altered by the program,An object which may contain some data,memorybased,medium
 How are non-anonymous Python functions declared?,There is no way to pass parameters to a class instance," With the ""def"" keyword.",With function prototypes declared in header files.,"With ""do function ... done""."," With the ""def"" keyword.",understanding,medium
" When defining a class, what controls which parameters that may be passed when the class is instantiated?",referenece parameters,Specifying those parameters after the class name.,Specifying those parameters in the definition of an __init__ method of the class.,Writing the desired values after the class name when the class instance is created.,Specifying those parameters in the definition of an __init__ method of the class.,understanding,hard
What is the del statement used for?, To remove a function from a list given its name.,To remove an item To remove an item from a list given its index.from a list given its index.,To delete a file from the file system given its path., To delete a user if you are a privileged user., To remove an item from a list given its index.,understanding,medium
What is the maximum possible length of an identifier?,16,32,64,none of the above ,none of the above,understanding,easy
Which of the following statements is correct regarding the object-oriented programming concept in python, Classes are real-world entities while objects are not real, Objects are real-world entities while classes are not real,both a nd b,All of the Above, Objects are real-world entities while classes are not real,memorybased,hard
Which of the following declarations is incorrect?,_x=2,__x=3,_xyz__=5,none of the above ,none of the above,understanding,hard
Which of the following statements is correct for variable names in Python language?, All variable names must begin with an underscore.,Unlimited length, The variable name length is a maximum of 2.,All of the Above,Unlimited length,memorybased,hard
Which one of the following has the same precedence level?,"Division, Power, Multiplication, Addition and Subtraction", Division and Multiplication,substraction and division,power and division, Division and Multiplication,understanding,hard
"Which of the following is correctly evaluated for this function?pow(x,y,z)", (x / y) / z,(x**y) / z, (x / y) * z, (x**y) % z, (x**y) % z,understanding,hard
Which one of the following syntaxes is the correct syntax to read from a simple text file stored in”d:\java.txt”?,"Infile = open(”d:\\java.txt”, ”r”)"," Infile = open(file=”d:\\\java.txt”, ”r”)","Infile = open(”d:\java.txt”,”r”)","Infile = open.file(”d:\\java.txt”,”r”)","Infile = open(”d:\\java.txt”, ”r”)",memorybased,hard
"Study the following function:any([5>8, 6>3, 3>1])What will be the output of this code?",TRUE,FALSE,invalid code,none of the above ,TRUE,understanding,hard
Which of the following option is not a core data type in the python language?,dictionary,lists,class,All of the Above,class,memorybased,medium
What error will occur when you execute the following code?MANGO = APPLE,nameerror,syntaxerror,typeerror,valueerror,nameerror,understanding,medium
What happens when ‘2’ == 2 is executed?,FALSE,TRUE,valueerror,typeerror,FALSE,understanding,medium
Correct syntax of the reshape() function in Numpy array python is –,array.reshape(shape),"reshape(shape,array)","reshape(array,shape)",reshape(shape),"reshape(array,shape)",fillups,medium
How we can convert the Numpy array to the list in python?,list(array),list.array,array.list,none of the above ,list(array),memorybased,medium
How we can find the type of numpy array in python ?,dtype,type,typei,itype,dtype,understanding,medium
Python pandas was developed by?,Guido van Rossum,Travis Oliphant,Wes McKinney,Brendan Eich,Wes McKinney,memorybased,medium
Popular external libraries in Python include ______.,Numpy,Pandas,Matplotib,All of the Above,All of the Above,fillups,medium
 Who specializes in Python programming is called ______.,pythonic,pythian,pythaniasts,no specialized name is determined,pythaniasts,fillups,easy
 The main purpose of Python programming is to,Organize code into manageable units and promote code reuse,execute block of code consistenly,determine conditional statements,to execute mathematical operations,Organize code into manageable units and promote code reuse,memorybased,medium
Python does not natively support ______ data type.,dictionary,lists,tuples,arrays,arrays,fillups,medium
 ________ is not a keyword used in the Python programming language.,pass,eval,assert,nonlocal,eval,fillups,easy
What will be the output of bool(‘False’)?,TRUE,FALSE,error,none of the above ,TRUE,understanding,easy
 ________ data type will be used to store a whole number in Python programming.,int,bool,str,float,int,fillups,easy
The items() method of the dictionary returns ________.,lists of tuples,lists of obj,repetition of values,lists of lists,lists of tuples,fillups,hard
What does the range() function in Python return?,A list of numbers,a tuple of a number, A sequence of numbers,A dictionary of numbers, A sequence of numbers,understanding,hard
What does the strip() method do in Python?, Removes all leading and trailing spaces from a string, Splits a string into a list of substrings,Joins multiple strings into one, Replaces occurrences of a substring within a string, Removes all leading and trailing spaces from a string,understanding,medium
What will be the output of the following code snippet?print(3 * 'abc'),abcabcabcabc,abcabc,abcabcabc,error,abcabcabc,example,easy
Which of the following is used to open a file in Python for reading and writing?,r+,rw,a+,both a and c,both a and c,memorybased,easy
What does the __init__ method do in Python?, It initializes all the variables in a class.,It is a constructor method that is automatically called, It is used to delete an instance of a class.,It is a reserved keyword and cannot be used as a method name.,It is a constructor method that is automatically called,understanding,medium
 What does the append() method do when used with lists in Python?,Adds an element to the end of the list,Removes the last element of the list, Sorts the elements of the list, Reverses the order of elements in the list,Adds an element to the end of the list,understanding,easy
 Which of the following is the correct way to define a function in Python?,def function_name:, function function_name():,define function_name():,def function_name():,def function_name():,memorybased,easy
 Which of the following is not a valid comparison operator in Python?,<=,=>',==',!=','=>',memorybased,easy
What is the output of 10 / 3 in Python?,3.3333,3,3,4,3.3333,example,easy
"Find the mistake:x = (1, 2, 3);x[1] = 4;print(x)",Tuples are immutable,x[1] should be x[2],syntax error,no error,Tuples are immutable,example,medium
Which function in Python is used to display data as output?,display(),print(),show(),output(),print(),memorybased,easy
"In Python, which keyword is used to check additional conditions if the previous conditions fail?",elif,else if,then,switch,elif,understanding,easy
What is the use of a for loop in Python?,To repeat a block a fixed number of times,To check a condition,To declare variables,To handle exceptions,To repeat a block a fixed number of times,memorybased,medium
What is the difference between a for loop and a while loop in Python?,for is used for fixed iterations,while is faster than for,for can't use conditional statements,there is no difference,for is used for fixed iterations,understanding,medium
What is the output of the following code?for i in range(3):print(i),"""0 1 2""",1 2 3,0 1 2 3 ,error,"""0 1 2""",example,medium
What is the main difference between a list and a tuple in Python?,syntax,data type,mutability,method of declaration,mutability,memorybased,medium
How do you access the last element of a list named myList?,mylist[0],mylist[-1],mylist[len(mylist)],mylist[-2],mylist[-1],understanding,hard
